date and time,portfolio value,ticker,number of shares (no fractional shares),current market value of all shares held,current day profit/loss in dollars
datetime,portfolio_value,ticker,quantity,market_value,current_day_loss_profit
09/01/2020 10:21,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:23,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:24,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:25,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:26,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:27,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:28,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:29,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:30,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:31,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:32,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:33,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:34,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:35,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:36,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:37,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:38,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:39,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:40,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:41,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:42,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:43,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:44,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:45,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:46,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:48,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:49,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:50,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:51,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:52,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:53,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:54,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:55,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:56,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:57,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:58,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 10:59,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:00,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:01,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:02,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:03,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:04,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:05,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:06,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:07,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:08,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:09,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:10,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:11,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:13,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:14,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:15,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:16,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:17,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:18,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:19,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:20,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:21,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:22,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:23,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:24,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:25,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:26,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:27,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:28,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:29,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:30,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:31,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:32,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:33,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:34,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:35,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:36,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:38,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:39,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:40,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:41,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:42,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:43,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:44,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:45,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:46,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:47,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:48,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:49,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:50,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:51,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:52,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:53,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:54,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:55,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:56,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:57,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:58,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 11:59,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:00,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:01,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
